sep=,
"Data","Terceiro","Doc.","Nome [Clientes]","Vendedor","Família [Artigos]","Valor [Documentos GC Lin]"
"28-11-2025",="1298","ENC","VMSS TORNEIRO MECÂNICO, LDA.","OC","YAMAWA","0"
"11-12-2025",="1298","ENC","VMSS TORNEIRO MECÂNICO, LDA.","OC","VOLKEL","0"
"11-12-2025",="1298","ENC","VMSS TORNEIRO MECÂNICO, LDA.","OC","VOLKEL","0"
"06-01-2025",="1298","FT","VMSS TORNEIRO MECÂNICO, LDA.","OC","","0"
"08-01-2025",="1298","FT","VMSS TORNEIRO MECÂNICO, LDA.","OC","","0"
"08-01-2025",="1298","FT","VMSS TORNEIRO MECÂNICO, LDA.","OC","","0"
"13-01-2025",="1298","FT","VMSS TORNEIRO MECÂNICO, LDA.","OC","","0"
"15-01-2025",="1298","FT","VMSS TORNEIRO MECÂNICO, LDA.","OC","","0"
"15-01-2025",="1298","FT","VMSS TORNEIRO MECÂNICO, LDA.","OC","","0"
"15-01-2025",="1298","FT","VMSS TORNEIRO MECÂNICO, LDA.","OC","","0"
"15-01-2025",="1298","FT","VMSS TORNEIRO MECÂNICO, LDA.","OC","","0"
"15-01-2025",="1298","FT","VMSS TORNEIRO MECÂNICO, LDA.","OC","","0"
"22-01-2025",="1298","FT","VMSS TORNEIRO MECÂNICO, LDA.","OC","","0"
"29-01-2025",="1298","FT","VMSS TORNEIRO MECÂNICO, LDA.","OC","","0"
"29-01-2025",="1298","FT","VMSS TORNEIRO MECÂNICO, LDA.","OC","","0"
"29-01-2025",="1298","FT","VMSS TORNEIRO MECÂNICO, LDA.","OC","","0"
"30-01-2025",="1298","FT","VMSS TORNEIRO MECÂNICO, LDA.","OC","","0"
"30-01-2025",="1298","FT","VMSS TORNEIRO MECÂNICO, LDA.","OC","OUTRO","0"
"04-02-2025",="1298","FT","VMSS TORNEIRO MECÂNICO, LDA.","OC","","0"
"12-02-2025",="1298","FT","VMSS TORNEIRO MECÂNICO, LDA.","OC","","0"
"10-03-2025",="1298","FT","VMSS TORNEIRO MECÂNICO, LDA.","OC","","0"
"10-03-2025",="1298","FT","VMSS TORNEIRO MECÂNICO, LDA.","OC","","0"
"10-03-2025",="1298","FT","VMSS TORNEIRO MECÂNICO, LDA.","OC","","0"
"10-03-2025",="1298","FT","VMSS TORNEIRO MECÂNICO, LDA.","OC","","0"
"10-03-2025",="1298","FT","VMSS TORNEIRO MECÂNICO, LDA.","OC","","0"
"11-03-2025",="1298","FT","VMSS TORNEIRO MECÂNICO, LDA.","OC","","0"
"11-03-2025",="1298","FT","VMSS TORNEIRO MECÂNICO, LDA.","OC","","0"
"11-03-2025",="1298","FT","VMSS TORNEIRO MECÂNICO, LDA.","OC","","0"
"11-03-2025",="1298","FT","VMSS TORNEIRO MECÂNICO, LDA.","OC","","0"
"11-03-2025",="1298","FT","VMSS TORNEIRO MECÂNICO, LDA.","OC","","0"
"13-03-2025",="1298","FT","VMSS TORNEIRO MECÂNICO, LDA.","OC","","0"
"13-03-2025",="1298","FT","VMSS TORNEIRO MECÂNICO, LDA.","OC","","0"
"18-03-2025",="1298","FT","VMSS TORNEIRO MECÂNICO, LDA.","OC","","0"
"18-03-2025",="1298","FT","VMSS TORNEIRO MECÂNICO, LDA.","OC","","0"
"18-03-2025",="1298","FT","VMSS TORNEIRO MECÂNICO, LDA.","OC","","0"
"20-03-2025",="1298","FT","VMSS TORNEIRO MECÂNICO, LDA.","OC","","0"
"31-03-2025",="1298","FT","VMSS TORNEIRO MECÂNICO, LDA.","OC","","0"
"31-03-2025",="1298","FT","VMSS TORNEIRO MECÂNICO, LDA.","OC","OSAWA","0"
"31-03-2025",="1298","FT","VMSS TORNEIRO MECÂNICO, LDA.","OC","OSAWA","0"
"01-04-2025",="1298","FT","VMSS TORNEIRO MECÂNICO, LDA.","OC","","0"
"01-04-2025",="1298","FT","VMSS TORNEIRO MECÂNICO, LDA.","OC","","0"
"10-04-2025",="1298","FT","VMSS TORNEIRO MECÂNICO, LDA.","OC","","0"
"10-04-2025",="1298","FT","VMSS TORNEIRO MECÂNICO, LDA.","OC","","0"
"11-04-2025",="1298","FT","VMSS TORNEIRO MECÂNICO, LDA.","OC","","0"
"11-04-2025",="1298","FT","VMSS TORNEIRO MECÂNICO, LDA.","OC","","0"
"11-04-2025",="1298","FT","VMSS TORNEIRO MECÂNICO, LDA.","OC","","0"
"29-05-2025",="1298","FT","VMSS TORNEIRO MECÂNICO, LDA.","OC","","0"
"29-05-2025",="1298","FT","VMSS TORNEIRO MECÂNICO, LDA.","OC","","0"
"29-05-2025",="1298","FT","VMSS TORNEIRO MECÂNICO, LDA.","OC","","0"
"03-06-2025",="1298","FT","VMSS TORNEIRO MECÂNICO, LDA.","OC","","0"
"06-06-2025",="1298","FT","VMSS TORNEIRO MECÂNICO, LDA.","OC","","0"
"22-07-2025",="1298","FT","VMSS TORNEIRO MECÂNICO, LDA.","OC","","0"
"23-07-2025",="1298","FT","VMSS TORNEIRO MECÂNICO, LDA.","OC","","0"
"25-07-2025",="1298","FT","VMSS TORNEIRO MECÂNICO, LDA.","OC","","0"
"25-07-2025",="1298","FT","VMSS TORNEIRO MECÂNICO, LDA.","OC","","0"
"25-07-2025",="1298","FT","VMSS TORNEIRO MECÂNICO, LDA.","OC","","0"
"25-07-2025",="1298","FT","VMSS TORNEIRO MECÂNICO, LDA.","OC","","0"
"25-07-2025",="1298","FT","VMSS TORNEIRO MECÂNICO, LDA.","OC","YAMAWA","0"
"25-07-2025",="1298","FT","VMSS TORNEIRO MECÂNICO, LDA.","OC","YAMAWA","0"
"25-07-2025",="1298","FT","VMSS TORNEIRO MECÂNICO, LDA.","OC","YAMAWA","0"
"25-07-2025",="1298","FT","VMSS TORNEIRO MECÂNICO, LDA.","OC","HTK","0"
"25-07-2025",="1298","FT","VMSS TORNEIRO MECÂNICO, LDA.","OC","HTK","0"
"25-07-2025",="1298","FT","VMSS TORNEIRO MECÂNICO, LDA.","OC","HTK","0"
"25-07-2025",="1298","FT","VMSS TORNEIRO MECÂNICO, LDA.","OC","","0"
"28-07-2025",="1298","FT","VMSS TORNEIRO MECÂNICO, LDA.","OC","","0"
"28-07-2025",="1298","FT","VMSS TORNEIRO MECÂNICO, LDA.","OC","","0"
"28-07-2025",="1298","FT","VMSS TORNEIRO MECÂNICO, LDA.","OC","","0"
"28-07-2025",="1298","FT","VMSS TORNEIRO MECÂNICO, LDA.","OC","","0"
"28-07-2025",="1298","FT","VMSS TORNEIRO MECÂNICO, LDA.","OC","YAMAWA","0"
"28-07-2025",="1298","FT","VMSS TORNEIRO MECÂNICO, LDA.","OC","YAMAWA","0"
"28-07-2025",="1298","FT","VMSS TORNEIRO MECÂNICO, LDA.","OC","YAMAWA","0"
"28-07-2025",="1298","FT","VMSS TORNEIRO MECÂNICO, LDA.","OC","HTK","0"
"28-07-2025",="1298","FT","VMSS TORNEIRO MECÂNICO, LDA.","OC","HTK","0"
"28-07-2025",="1298","FT","VMSS TORNEIRO MECÂNICO, LDA.","OC","HTK","0"
"29-07-2025",="1298","FT","VMSS TORNEIRO MECÂNICO, LDA.","OC","HTK","0"
"29-07-2025",="1298","FT","VMSS TORNEIRO MECÂNICO, LDA.","OC","HTK","0"
"29-07-2025",="1298","FT","VMSS TORNEIRO MECÂNICO, LDA.","OC","YAMAWA","0"
"29-07-2025",="1298","FT","VMSS TORNEIRO MECÂNICO, LDA.","OC","YAMAWA","0"
"29-07-2025",="1298","FT","VMSS TORNEIRO MECÂNICO, LDA.","OC","","0"
"29-07-2025",="1298","FT","VMSS TORNEIRO MECÂNICO, LDA.","OC","","0"
"04-08-2025",="1298","FT","VMSS TORNEIRO MECÂNICO, LDA.","OC","","0"
"04-09-2025",="1298","FT","VMSS TORNEIRO MECÂNICO, LDA.","OC","","0"
"05-09-2025",="1298","FT","VMSS TORNEIRO MECÂNICO, LDA.","OC","","0"
"05-09-2025",="1298","FT","VMSS TORNEIRO MECÂNICO, LDA.","OC","","0"
"09-09-2025",="1298","FT","VMSS TORNEIRO MECÂNICO, LDA.","OC","","0"
"10-09-2025",="1298","FT","VMSS TORNEIRO MECÂNICO, LDA.","OC","","0"
"10-09-2025",="1298","FT","VMSS TORNEIRO MECÂNICO, LDA.","OC","","0"
"17-09-2025",="1298","FT","VMSS TORNEIRO MECÂNICO, LDA.","OC","","0"
"22-09-2025",="1298","FT","VMSS TORNEIRO MECÂNICO, LDA.","OC","","0"
"22-09-2025",="1298","FT","VMSS TORNEIRO MECÂNICO, LDA.","OC","","0"
"23-09-2025",="1298","FT","VMSS TORNEIRO MECÂNICO, LDA.","OC","","0"
"30-09-2025",="1298","FT","VMSS TORNEIRO MECÂNICO, LDA.","OC","","0"
"30-09-2025",="1298","FT","VMSS TORNEIRO MECÂNICO, LDA.","OC","","0"
"30-09-2025",="1298","FT","VMSS TORNEIRO MECÂNICO, LDA.","OC","","0"
"30-09-2025",="1298","FT","VMSS TORNEIRO MECÂNICO, LDA.","OC","","0"
"30-09-2025",="1298","FT","VMSS TORNEIRO MECÂNICO, LDA.","OC","","0"
"03-10-2025",="1298","FT","VMSS TORNEIRO MECÂNICO, LDA.","OC","","0"
"14-10-2025",="1298","FT","VMSS TORNEIRO MECÂNICO, LDA.","OC","","0"
"20-10-2025",="1298","FT","VMSS TORNEIRO MECÂNICO, LDA.","OC","","0"
"20-10-2025",="1298","FT","VMSS TORNEIRO MECÂNICO, LDA.","OC","","0"
"21-10-2025",="1298","FT","VMSS TORNEIRO MECÂNICO, LDA.","OC","","0"
"21-10-2025",="1298","FT","VMSS TORNEIRO MECÂNICO, LDA.","OC","YAMAWA","0"
"21-10-2025",="1298","FT","VMSS TORNEIRO MECÂNICO, LDA.","OC","HTK","0"
"21-10-2025",="1298","FT","VMSS TORNEIRO MECÂNICO, LDA.","OC","HTK","0"
"21-10-2025",="1298","FT","VMSS TORNEIRO MECÂNICO, LDA.","OC","YAMAWA","0"
"21-10-2025",="1298","FT","VMSS TORNEIRO MECÂNICO, LDA.","OC","","0"
"22-10-2025",="1298","FT","VMSS TORNEIRO MECÂNICO, LDA.","OC","","0"
"22-10-2025",="1298","FT","VMSS TORNEIRO MECÂNICO, LDA.","OC","","0"
"22-10-2025",="1298","FT","VMSS TORNEIRO MECÂNICO, LDA.","OC","YAMAWA","0"
"04-11-2025",="1298","FT","VMSS TORNEIRO MECÂNICO, LDA.","OC","","0"
"19-11-2025",="1298","FT","VMSS TORNEIRO MECÂNICO, LDA.","OC","","0"
"28-11-2025",="1298","FT","VMSS TORNEIRO MECÂNICO, LDA.","OC","","0"
"11-12-2025",="1298","FT","VMSS TORNEIRO MECÂNICO, LDA.","OC","","0"
"07-01-2025",="1298","GTR","VMSS TORNEIRO MECÂNICO, LDA.","OC","TIVOLY","0"
"27-01-2025",="1298","GTR","VMSS TORNEIRO MECÂNICO, LDA.","OC","OSBORN","0"
"27-01-2025",="1298","GTR","VMSS TORNEIRO MECÂNICO, LDA.","OC","OSAWA","0"
"27-01-2025",="1298","GTR","VMSS TORNEIRO MECÂNICO, LDA.","OC","OSAWA","0"
"27-01-2025",="1298","GTR","VMSS TORNEIRO MECÂNICO, LDA.","OC","OSAWA","0"
"06-03-2025",="1298","GTR","VMSS TORNEIRO MECÂNICO, LDA.","OC","PRYOR","0"
"11-03-2025",="1298","GTR","VMSS TORNEIRO MECÂNICO, LDA.","OC","NUI","0"
"11-03-2025",="1298","GTR","VMSS TORNEIRO MECÂNICO, LDA.","OC","NUI","0"
"11-03-2025",="1298","GTR","VMSS TORNEIRO MECÂNICO, LDA.","OC","NUI","0"
"11-03-2025",="1298","GTR","VMSS TORNEIRO MECÂNICO, LDA.","OC","NUI","0"
"11-03-2025",="1298","GTR","VMSS TORNEIRO MECÂNICO, LDA.","OC","NUI","0"
"11-03-2025",="1298","GTR","VMSS TORNEIRO MECÂNICO, LDA.","OC","NUI","0"
"11-03-2025",="1298","GTR","VMSS TORNEIRO MECÂNICO, LDA.","OC","NUI","0"
"17-03-2025",="1298","GTR","VMSS TORNEIRO MECÂNICO, LDA.","OC","OSAWA","0"
"17-03-2025",="1298","GTR","VMSS TORNEIRO MECÂNICO, LDA.","OC","EROGLU","0"
