sep=,
"Data","Doc.","Artigo [Documentos GC Lin]","Descrição [Artigos]","Observ. [Artigos]","Quant [Documentos GC Lin]","Valor [Documentos GC Lin]","Desconto [Documentos GC Lin]","Família [Artigos]","Nome [Clientes]","Vendedor [Documentos GC Lin]"
"15-04-2025","ENC",="120173","BROCA MD 5xD RI","355HPU 11 mm","1","68,63",="25","OSAWA","JOÃO & OLIVEIRA, LDA.","VT"
"15-04-2025","ENC",="129230","MACHO HSS DIN371 ISO2(6H)","M 8,00x1.25 Helic  (SP-VA)","4","62,88",="45","YAMAWA","JOÃO & OLIVEIRA, LDA.","VT"
"15-04-2025","ENC",="120292","BROCA MD 5xD RI","355HPU 6,8 mm","2","78,75",="25","OSAWA","JOÃO & OLIVEIRA, LDA.","VT"
"15-04-2025","ENC",="131425","BROCA MD 5xD RI","355HPU 11,8 mm","2","137,24",="25","OSAWA","JOÃO & OLIVEIRA, LDA.","VT"
"15-04-2025","ENC",="122920","BROCA MD 5xD RI","355HPU 4,2 mm","1","35,7",="25","OSAWA","JOÃO & OLIVEIRA, LDA.","VT"
"15-04-2025","ENC",="129228","MACHO HSS DIN371 ISO2(6H)","M 6,00x1.00 Helic  (SP-VA)","6","78,01",="45","YAMAWA","JOÃO & OLIVEIRA, LDA.","VT"
"24-04-2025","ENC",="129230","MACHO HSS DIN371 ISO2(6H)","M 8,00x1.25 Helic  (SP-VA)","6","94,31",="45","YAMAWA","BAIRRIMOLDES FÁBRICA MOLDES CUNHOS CORTANTES.,LDA.","HR"
"24-04-2025","ENC",="129228","MACHO HSS DIN371 ISO2(6H)","M 6,00x1.00 Helic  (SP-VA)","9","117,02",="45","YAMAWA","BAIRRIMOLDES FÁBRICA MOLDES CUNHOS CORTANTES.,LDA.","HR"
"24-04-2025","ENC",="129232","MACHO HSS DIN371 ISO2(6H)","M 10,00x1.50 Helic  (SP-VA)","9","169,24",="45","YAMAWA","BAIRRIMOLDES FÁBRICA MOLDES CUNHOS CORTANTES.,LDA.","HR"
"24-04-2025","ENC",="129226","MACHO HSS DIN371 ISO2(6H)","M 5,00x0.80 Helic  (SP-VA)","6","77,25",="45","YAMAWA","BAIRRIMOLDES FÁBRICA MOLDES CUNHOS CORTANTES.,LDA.","HR"
"07-05-2025","ENC",="133632","FRESA TUNGS 4N CURTA","BD550 D8×20×D8×60L—4F","2","15,2",="0","HTK","SANIANO - SERRALHARIA MECÂNICA, LDA","VT"
"07-05-2025","ENC",="133436","FRESA TUNGS 4N CURTA","BD550 D1×3×D4×50L—4F","2","8,4",="0","HTK","SANIANO - SERRALHARIA MECÂNICA, LDA","VT"
"07-05-2025","ENC",="133554","FRESA TUNGS 4N CURTA","BD550 D6×15×D6×50L—4F","2","8,4",="0","HTK","SANIANO - SERRALHARIA MECÂNICA, LDA","VT"
"07-05-2025","ENC",="133634","FRESA TUNGS 4N CURTA","BD550 D12×30×D12×75L—4F","1","18,1",="0","HTK","SANIANO - SERRALHARIA MECÂNICA, LDA","VT"
"07-05-2025","ENC",="133533","FRESA TUNGS 4N CURTA","BD550 D4×10×D4×50L—4F","2","8,4",="0","HTK","SANIANO - SERRALHARIA MECÂNICA, LDA","VT"
"07-05-2025","ENC",="133633","FRESA TUNGS 4N CURTA","BD550 D10×25×D10×75L—4F","2","25,8",="0","HTK","SANIANO - SERRALHARIA MECÂNICA, LDA","VT"
"07-05-2025","ENC",="133526","FRESA TUNGS 4N CURTA","BD550 D5×13×D5×50L—4F","2","8,4",="0","HTK","SANIANO - SERRALHARIA MECÂNICA, LDA","VT"
"07-05-2025","ENC",="133425","FRESA TUNGS 4N CURTA","BD550 D1.5×4.5×D4×50L—4F","2","8,4",="0","HTK","SANIANO - SERRALHARIA MECÂNICA, LDA","VT"
"07-05-2025","ENC",="133461","FRESA TUNGS 4N CURTA","BD550 D2×6×D4×50L—4F","2","8,4",="0","HTK","SANIANO - SERRALHARIA MECÂNICA, LDA","VT"
"07-05-2025","ENC",="133550","FRESA TUNGS 4N CURTA","BD550 D2.5×7×D4×50L—4F","2","8,4",="0","HTK","SANIANO - SERRALHARIA MECÂNICA, LDA","VT"
"07-05-2025","ENC",="133551","FRESA TUNGS 4N CURTA","BD550 D3×8×D4×50L—4F","2","8,4",="0","HTK","SANIANO - SERRALHARIA MECÂNICA, LDA","VT"
"23-05-2025","ENC",="110007","MACHO MAN HSS ISO529","M 12,00x1.75 Jogo 1050031","1","43,6",="0","TIVOLY","CONTINENTAL MABOR INDÚSTRIA DE PNEUS, SA.","OC"
"02-06-2025","ENC",="122912","PRENSA PRECISÃO","GT853 172 175/400","8","4512",="0","HTK","MILLMAJ - METALOMECANICA DE PRECISÃO E PROJETO LDA","OC"
"02-07-2025","ENC",="101437","FRESA 2N CURTA/L M42 HSSE 8%CO","810 PM21 10,5mm","2","31,19",="10","CLARKS","JOSÉ MATEUS REIS, LDA.","AB"
"18-07-2025","ENC",="133289","FRESA","GOPR4RA0400N011HAR020M KCU20","0","0",="25","KENNA","DIFERENTEFEITO - UNIPESSOAL LDA","DB"
"18-07-2025","ENC",="133360","FRESA","GOPR4RA0300N008HAR020M KCU20","0","0",="0","KENNA","DIFERENTEFEITO - UNIPESSOAL LDA","DB"
"18-07-2025","ENC","","","","0","0",="0","","DIFERENTEFEITO - UNIPESSOAL LDA","DB"
"18-07-2025","ENC","","","","0","0",="0","","DIFERENTEFEITO - UNIPESSOAL LDA","DB"
"18-07-2025","ENC",="133303","FRESA","GOPR4RA0600N013HAR050M KCU20","0","0",="25","KENNA","DIFERENTEFEITO - UNIPESSOAL LDA","DB"
"18-07-2025","ENC","G","KIT PROMOCIONAL","","0","0",="0","","DIFERENTEFEITO - UNIPESSOAL LDA","DB"
"18-07-2025","ENC",="133361","FRESA","GOPR4RA0500N013HAR020M KCU20","0","0",="25","KENNA","DIFERENTEFEITO - UNIPESSOAL LDA","DB"
"24-07-2025","ENC",="132571","PLAQUETE","DCMT11T304LF KCU10B","10","58,6",="60","KENNA","LEAN TEC, LDA","HR"
"24-07-2025","ENC",="132572","PLAQUETE","DCMT11T308LF KCU10B","10","58,6",="60","KENNA","LEAN TEC, LDA","HR"
"25-07-2025","ENC",="115613","PLAQUETE","DFT05T308MD KC7140","20","240,8",="20","KENNA","VINCO VALVULAS, SA","OC"
"25-07-2025","ENC",="133243","BROCA","3.77000R025V","1","117,2",="20","KENNA","VINCO VALVULAS, SA","OC"
"25-07-2025","ENC","","","","0","0",="0","","VINCO VALVULAS, SA","OC"
"25-07-2025","ENC","","","","0","0",="0","","VINCO VALVULAS, SA","OC"
"25-07-2025","ENC",="140234","BROCA","5.34050-032350","1","599,2",="20","KENNA","VINCO VALVULAS, SA","OC"
"25-07-2025","ENC",="133242","BROCA","3.76063R032V","1","636",="20","KENNA","VINCO VALVULAS, SA","OC"
"25-07-2025","ENC",="122667","BROCA","3.77000R024V","1","117,2",="20","KENNA","VINCO VALVULAS, SA","OC"
"25-07-2025","ENC",="140233","PINÇAS","BT50BWD50085M","1","384",="25","KENNA","VINCO VALVULAS, SA","OC"
"26-08-2025","ENC","","","","0","0",="0","","EFAFLU BOMBAS VENTILADORES, SA.","OC"
"26-08-2025","ENC",="110562","FRESA TUNGS ROTATIVA","SE 3ML6 166mm P6  26503","2","51",="0","SGS","EFAFLU BOMBAS VENTILADORES, SA.","OC"
"26-08-2025","ENC","P","Portes","Portes","1","4,5",="0","","EFAFLU BOMBAS VENTILADORES, SA.","OC"
"04-09-2025","ENC","","","","0","0",="0","","CENTRO FORMAÇÃO PROFISSIONAL IND. METALOMECÂNICA","VT"
"04-09-2025","ENC","","","","0","0",="0","","CENTRO FORMAÇÃO PROFISSIONAL IND. METALOMECÂNICA","VT"
"04-09-2025","ENC","","","","0","0",="0","","CENTRO FORMAÇÃO PROFISSIONAL IND. METALOMECÂNICA","VT"
"04-09-2025","ENC","","","","0","0",="0","","CENTRO FORMAÇÃO PROFISSIONAL IND. METALOMECÂNICA","VT"
"04-09-2025","ENC",="146360","CASQUILHO DE REDUÇÃO","C-Type 25-08 Nº 04-0880A","3","260,7",="0","HAAS","CENTRO FORMAÇÃO PROFISSIONAL IND. METALOMECÂNICA","VT"
"04-09-2025","ENC","","","","0","0",="0","","CENTRO FORMAÇÃO PROFISSIONAL IND. METALOMECÂNICA","VT"
"04-09-2025","ENC","","","","0","0",="0","","CENTRO FORMAÇÃO PROFISSIONAL IND. METALOMECÂNICA","VT"
"04-09-2025","ENC",="146363","CASQUILHO DE REDUÇÃO","C-Type 25-16 Nº 04-0884","3","139,2",="0","HAAS","CENTRO FORMAÇÃO PROFISSIONAL IND. METALOMECÂNICA","VT"
"04-09-2025","ENC",="146361","CASQUILHO DE REDUÇÃO","C-Type 25-10 Nº 04-0881","3","139,2",="0","HAAS","CENTRO FORMAÇÃO PROFISSIONAL IND. METALOMECÂNICA","VT"
"04-09-2025","ENC",="146368","CASQUILHO DE REDUÇÃO","C-Type 32-20 Nº 04-0895","1","56,2",="0","HAAS","CENTRO FORMAÇÃO PROFISSIONAL IND. METALOMECÂNICA","VT"
"04-09-2025","ENC",="146364","CASQUILHO DE REDUÇÃO","C-Type 25-20 Nº 04-0886","3","139,2",="0","HAAS","CENTRO FORMAÇÃO PROFISSIONAL IND. METALOMECÂNICA","VT"
"04-09-2025","ENC",="146365","CASQUILHO DE REDUÇÃO","C-Type 32-10 Nº 04-0890","1","56,2",="0","HAAS","CENTRO FORMAÇÃO PROFISSIONAL IND. METALOMECÂNICA","VT"
"04-09-2025","ENC",="117883","AZERADOR UNIVERSAL","106000 2MM 3D","1","255,2",="0","HAFSCH","CENTRO FORMAÇÃO PROFISSIONAL IND. METALOMECÂNICA","VT"
"04-09-2025","ENC",="146362","CASQUILHO DE REDUÇÃO","C-Type 25-12 Nº 04-0882","3","139,2",="0","HAAS","CENTRO FORMAÇÃO PROFISSIONAL IND. METALOMECÂNICA","VT"
"04-09-2025","ENC",="146366","CASQUILHO DE REDUÇÃO","C-Type 32-12 Nº 04-0891","1","56,2",="0","HAAS","CENTRO FORMAÇÃO PROFISSIONAL IND. METALOMECÂNICA","VT"
"04-09-2025","ENC",="146367","CASQUILHO DE REDUÇÃO","C-Type 32-16 Nº 04-0893","1","56,2",="0","HAAS","CENTRO FORMAÇÃO PROFISSIONAL IND. METALOMECÂNICA","VT"
"05-09-2025","ENC",="105878","CHAVE","ER 25 (2-16 D=22,0 D=42 SEXT.","4","68",="0","EROGLU","CENTRO FORMAÇÃO PROFISSIONAL IND. METALOMECÂNICA","VT"
